Time,Behavior
814.386,Trial start
850.626,First discovery
2240.539,Attempted reverse tandem run
2378.572,Brood transport
2672.042,Brood transport
2958.709,Transport
3132.957,Transport
3227.459,Transport
3345.207,Transport
3379.457,Transport
3401.962,Transport
3413.977,Brood transport
3526.709,Transport
3546.957,Transport
3563.204,Transport
3571.457,Brood transport
3672.943,Transport
3723.693,Brood transport
3778.448,Transport
3801.198,Transport
3866.443,Transport
3889.695,Transport
3954.95,Brood transport
3972.948,Transport
4009.695,Transport
4034.21,Brood transport
4090.445,Transport
4153.45,Transport
4174.445,Transport
4184.193,Transport
4194.698,Transport
4217.19,Transport
4253.943,Transport
4293.695,Transport
4328.948,Brood transport
4385.193,Transport
4413.462,Transport
4433.707,Brood transport
4481.967,Brood transport
4525.965,Transport
4578.97,Transport
4637.22,Transport
4664.465,Transport
4665.96,Transport
4713.205,Brood transport
4778.462,Transport
4848.455,Brood transport
4856.46,Brood transport
4862.462,Transport
4946.999,Brood transport
4977.759,Brood transport
4994.267,Transport
5029.502,Brood transport
5097.259,Brood transport
5097.259,Transport
5190.9,Transport
5238.17,Transport
5306.663,Transport
5386.881,Transport
5476.123,Transport
5482.888,Transport
5518.876,Transport
5571.633,Transport
5668.15,Transport
5702.145,Transport
5742.655,Transport
5761.405,Transport
5775.65,Transport
5828.148,Transport
5912.895,Transport
5958.645,Transport
6008.9,Transport
6038.903,Transport
6150.648,Transport
6152.145,Transport
6395.655,Transport
7178.65,Transport
