Time,Behavior
4.353,First discovery
6.102,Trial start
840.11,Brood transport
906.36,Brood transport
1002.104,Brood transport
1090.612,Brood transport
1140.856,Brood transport
1146.612,Brood transport
1149.606,Brood transport
1157.854,Brood transport
1230.108,Brood transport
1275.606,Brood transport
1279.36,Brood transport
1327.354,Brood transport
1335.358,Brood transport
1342.112,Brood transport
1363.104,Brood transport
1399.354,Brood transport
1409.61,Brood transport
1475.11,Brood transport
1488.106,Brood transport
1519.104,Brood transport
1534.102,Brood transport
1537.362,Brood transport
1560.61,Brood transport
1605.106,Brood transport
1614.352,Brood transport
1635.854,Brood transport
1640.354,Brood transport
1660.854,Brood transport
1664.132,Transport
1691.13,Brood transport
1723.259,Brood transport
1739.035,Brood transport
1740.505,Brood transport
1756.757,Brood transport
1765.257,Brood transport
1797.011,Brood transport
1827.765,Brood transport
1831.005,Brood transport
1849.007,Brood transport
1870.505,Brood transport
1881.257,Brood transport
1884.517,Brood transport
1911.509,Brood transport
1916.005,Brood transport
1928.007,Brood transport
1943.257,Brood transport
1995.261,Brood transport
1999.007,Brood transport
2012.759,Brood transport
2106.649,Transport
