Time,Behavior
0,Trial start
431.63,First discovery
16656.735,Transport
17001.751,Transport
17161.767,Transport
17473.255,Transport
17550.007,Transport
17720.543,Transport
17783.047,Transport
17891.319,Transport
18293.33,Transport
18423.594,Reverse tandem run
18658.594,Transport
18691.57,Transport
18757.314,Transport
18856.57,Reverse tandem run
19004.086,Transport
19007.334,Tandem run
19063.838,Reverse tandem run
19124.078,Reverse tandem run
19300.631,Attempted tandem run
19435.639,Attempted reverse tandem run
19435.639,Reverse tandem run
19441.765,Transport
19611.021,Transport
