Time,Behavior
193.604,Trial start
714.857,First discovery
1335.609,Tandem run
1485.105,Tandem run
1631.432,Attempted reverse tandem run
1723.861,Reverse tandem run
1753.605,Tandem run
1848.428,Reverse tandem run
2216.928,Reverse tandem run
2226.432,Reverse tandem run
2411.42,Reverse tandem run
2444.672,Tandem run
2500.031,Reverse tandem run
2686.287,Reverse tandem run
2822.535,Brood transport
2824.775,Brood transport
2881.531,Brood transport
2967.279,Reverse tandem run
2985.535,Brood transport
3000.779,Brood transport
3026.031,Reverse tandem run
3042.531,Brood transport
3120.535,Brood transport
3151.531,Reverse tandem run
3211.027,Reverse tandem run
3243.031,Tandem run
3392.775,Reverse tandem run
3435.531,Brood transport
3456.259,Brood transport
3463.007,Brood transport
3539.503,Reverse tandem run
3556.263,Reverse tandem run
3587.763,Brood transport
3621.194,Brood transport
3673.702,Transport
3685.454,Transport
3785.946,Reverse tandem run
3798.954,Transport
3947.962,Transport
3996.202,Transport
4001.958,Transport
4078.45,Transport
4118.958,Transport
4214.202,Reverse tandem run
4379.198,Transport
4388.198,Transport
