Time,Behavior
0,Trial start
206.353,First discovery
2338.118,Brood transport
2405.11,Transport
2711.886,Brood transport
2838.634,Brood transport
2928.64,Brood transport
2959.134,Brood transport
2962.914,Reverse tandem run
3010.134,Brood transport
3084.033,Brood transport
3230.229,Brood transport
3283.477,Brood transport
3347.727,Brood transport
3498.485,Brood transport
3628.198,Brood transport
3629.946,Reverse tandem run
3690.21,Brood transport
3728.943,Brood transport
3778.703,Brood transport
3790.7,Reverse tandem run
3821.694,Brood transport
3905.955,Brood transport
3925.195,Brood transport
3977.204,Brood transport
3986.952,Brood transport
4012.949,Brood transport
4035.079,Transport
4129.085,Brood transport
4188.079,Brood transport
4266.829,Brood transport
4338.835,Brood transport
4345.079,Brood transport
4458.762,Transport
4471.266,Brood transport
4567.827,Transport
4575.581,Transport
4649.076,Brood transport
4711.581,Transport
4872.833,Transport
5059.325,Transport
