Time,Behavior
0.862,Trial start
559.113,First discovery
1626.696,Brood transport
1872.692,Transport
2208.2,Brood transport
2683.94,Brood transport
2705.212,Transport
2924.712,Brood transport
3075.96,Brood transport
3797.198,Brood transport
4189.202,Brood transport
4254.202,Transport
4276.706,Brood transport
4515.706,Brood transport
4540.702,Brood transport
4640.198,Brood transport
4812.702,Brood transport
5039.959,Brood transport
5458.955,Reverse tandem run
5505.203,Brood transport
5561.698,Brood transport
5584.946,Transport
5714.941,Brood transport
5870.95,Transport
5931.95,Brood transport
6089.455,Transport
6117.703,Transport
6155.446,Transport
6287.95,Transport
6302.95,Transport
6312.95,Brood transport
6470.45,Transport
6497.941,Transport
6578.631,Attempted reverse tandem run
6658.384,Transport
6666.631,Transport
6667.879,Brood transport
6850.384,Reverse tandem run
6939.879,Transport
7038.884,Reverse tandem run
7106.375,Transport
7238.793,Transport
7252.04,Brood transport
7278.293,Transport
7622.04,Transport
7711.554,Transport
7756.293,Transport
7797.536,Transport
7855.04,Transport
7866.288,Transport
8050.793,Transport
8144.549,Transport
