Index,Colony,Nest,Distance,Treatment,Time,Tape,Ant,Time code,Behavior,Location/Origin,Destination
1,200,Good,15,Forced,0.386111111,0,OldUncoded,0,Open,Old,
1,200,Good,15,Forced,0.394606481,1,GGPY,0,E,Good,
1,200,Good,15,Forced,0.395034722,1,GGPY,0.000428241,L,Good,
1,200,Good,15,Forced,0.395497685,1,GGPY,0.000891204,E,Good,
1,200,Good,15,Forced,0.396736111,1,GOPG,0.00212963,E,Good,
1,200,Good,15,Forced,0.396840278,1,GOPG,0.002233796,L,Good,
1,200,Good,15,Forced,0.3971875,1,GGPY,0.002581019,L,Good,
1,200,Good,15,Forced,0.398009259,1,WBPG,0.003402778,E,Good,
1,200,Good,15,Forced,0.398043981,1,GGPY,0.0034375,E,Good,
1,200,Good,15,Forced,0.398229167,1,OWWP,0.003622685,E,Good,
1,200,Good,15,Forced,0.398900463,1,WBPG,0.004293981,L,Good,
1,200,Good,15,Forced,0.399166667,1,PGGY,0.004560185,E,Good,
1,200,Good,15,Forced,0.399421296,1,GOPG,0.004814815,E,Good,
1,200,Good,15,Forced,0.399467593,1,GGPY,0.004861111,L,Good,
1,200,Good,15,Forced,0.399513889,1,PGOP,0.004907407,E,Good,
1,200,Good,15,Forced,0.399537037,1,GGPY,0.004930556,E,Good,
1,200,Good,15,Forced,0.400104167,1,GGPY,0.005497685,L,Good,
1,200,Good,15,Forced,0.400289352,1,GGPY,0.00568287,E,Good,
1,200,Good,15,Forced,0.400763889,1,GOGP,0.006157407,E,Good,
1,200,Good,15,Forced,0.401481481,1,BBOP,0.006875,E,Good,
1,200,Good,15,Forced,0.401550926,1,OWWP,0.006944444,L,Good,
1,200,Good,15,Forced,0.401759259,1,PGOP,0.007152778,L,Good,
1,200,Good,15,Forced,0.401770833,1,GWGO,0.007164352,E,Good,
1,200,Good,15,Forced,0.401851852,1,PGGY,0.00724537,L,Good,
1,200,Good,15,Forced,0.40193287,1,GOBW,0.007326389,E,Good,
1,200,Good,15,Forced,0.402280093,1,GGPY,0.007673611,L,Good,
1,200,Good,15,Forced,0.402326389,1,PYYP,0.007719907,E,Good,
1,200,Good,15,Forced,0.402708333,1,WBPG,0.008101852,E,Good,
1,200,Good,15,Forced,0.402731481,1,BWOG,0.008125,E,Good,
1,200,Good,15,Forced,0.402766204,1,GOGP,0.008159722,L,Good,
1,200,Good,15,Forced,0.40318287,0.1,PGOP,0.011886574,E,Old,
1,200,Good,15,Forced,0.40318287,1,GOPG,0.008576389,L,Good,
1,200,Good,15,Forced,0.403657407,0.1,OBGB,0.012361111,FB,Old,Good
1,200,Good,15,Forced,0.403657407,0.1,PGOP,0.012361111,FTR,Old,Good
1,200,Good,15,Forced,0.403668981,0.1,PGOP,0.012372685,L,Old,
1,200,Good,15,Forced,0.403726852,1,YWOB,0.00912037,E,Good,
1,200,Good,15,Forced,0.404085648,1,GPWB,0.009479167,E,Good,
1,200,Good,15,Forced,0.404108796,0.1,PGGY,0.0128125,E,Old,
1,200,Good,15,Forced,0.404467593,1,PYYP,0.009861111,L,Good,
1,200,Good,15,Forced,0.404513889,0.1,BBYG,0.013217593,FB,Old,Good
1,200,Good,15,Forced,0.404513889,0.1,PGGY,0.013217593,FTR,Old,Good
1,200,Good,15,Forced,0.404571759,0.1,PGGY,0.013275463,L,Old,
1,200,Good,15,Forced,0.404814815,1,OO**1,0.010208333,FB,Old,Good
1,200,Good,15,Forced,0.404837963,1,YPYP,0.010231481,E,Good,
1,200,Good,15,Forced,0.404965278,1,GWGO,0.010358796,L,Good,
1,200,Good,15,Forced,0.40505787,0.1,GOPG,0.013761574,E,Old,
1,200,Good,15,Forced,0.405127315,1,GGPY,0.010520833,E,Good,
1,200,Good,15,Forced,0.405127315,1,OWWP,0.010520833,FTR,Old,Good
1,200,Good,15,Forced,0.405347222,1,OPBY,0.010740741,E,Good,
1,200,Good,15,Forced,0.405381944,1,BWOG,0.010775463,L,Good,
1,200,Good,15,Forced,0.405821759,1,PGOP,0.011215278,E,Good,
1,200,Good,15,Forced,0.405868056,1,BWOG,0.011261574,E,Good,
1,200,Good,15,Forced,0.405868056,1,OO**1,0.011261574,E,Good,
1,200,Good,15,Forced,0.406180556,1,PWYW,0.011574074,FB,Old,Good
1,200,Good,15,Forced,0.406296296,0.1,GOPG,0.015,L,Old,
1,200,Good,15,Forced,0.406296296,1,GOPG,0.011689815,FTR,Old,Good
1,200,Good,15,Forced,0.406990741,0.1,PYYP,0.015694444,E,Old,
1,200,Good,15,Forced,0.407048611,0.1,GWGO,0.015752315,E,Old,
1,200,Good,15,Forced,0.407060185,1,BPGW,0.012453704,E,Good,
1,200,Good,15,Forced,0.407361111,0.1,OBGB,0.016064815,E,Old,
1,200,Good,15,Forced,0.407430556,1,OWWP,0.012824074,E,Good,
1,200,Good,15,Forced,0.407476852,0.1,GWGO,0.016180556,L,Old,
1,200,Good,15,Forced,0.407615741,1,PWYW,0.013009259,E,Good,
1,200,Good,15,Forced,0.407696759,0.1,BWGP,0.016400463,FB,Old,Good
1,200,Good,15,Forced,0.407696759,0.1,PYYP,0.016400463,FTR,Old,Good
1,200,Good,15,Forced,0.407708333,0.1,PYYP,0.016412037,L,Old,
1,200,Good,15,Forced,0.407928241,1,PGGY,0.013321759,E,Good,
1,200,Good,15,Forced,0.407928241,1,PGOP,0.013321759,L,Good,
1,200,Good,15,Forced,0.407962963,1,GGBP,0.013356481,E,Good,
1,200,Good,15,Forced,0.408159722,1,WBYP,0.013553241,E,Good,
1,200,Good,15,Forced,0.408240741,1,BBOP,0.013634259,L,Good,
1,200,Good,15,Forced,0.4084375,1,GPWB,0.013831019,L,Good,
1,200,Good,15,Forced,0.408611111,1,YWOB,0.01400463,L,Good,
1,200,Good,15,Forced,0.408726852,1,WOYB,0.01412037,E,Good,
1,200,Good,15,Forced,0.408738426,1,GWGO,0.014131944,FTR,Old,Good
1,200,Good,15,Forced,0.408877315,1,OPBY,0.014270833,L,Good,
1,200,Good,15,Forced,0.408935185,1,GWGO,0.014328704,E,Good,
1,200,Good,15,Forced,0.408958333,1,WWPO,0.014351852,E,Good,
1,200,Good,15,Forced,0.409212963,1,WBPG,0.014606481,L,Good,
1,200,Good,15,Forced,0.409224537,1,BYGO,0.014618056,E,Good,
1,200,Good,15,Forced,0.409270833,1,WGWY,0.014664352,E,Good,
1,200,Good,15,Forced,0.409826389,0.1,YWOB,0.018530093,E,Old,
1,200,Good,15,Forced,0.409953704,1,PGOP,0.015347222,TA,Good,
1,200,Good,15,Forced,0.409953704,1,PWWO,0.015347222,BC,Good,
1,200,Good,15,Forced,0.410219907,1,OWWP,0.015613426,L,Good,
1,200,Good,15,Forced,0.410231481,1,WPGB,0.015625,E,Good,
1,200,Good,15,Forced,0.410358796,0.1,YWOB,0.0190625,FTR,Old,Good
1,200,Good,15,Forced,0.410358796,0.1,OBGB,0.0190625,FB,Old,Good
1,200,Good,15,Forced,0.410381944,0.1,YWOB,0.019085648,L,Old,
1,200,Good,15,Forced,0.410439815,1,PGOP,0.015833333,L,Good,
1,200,Good,15,Forced,0.410601852,1,GOPG,0.01599537,E,Good,
1,200,Good,15,Forced,0.410636574,0.1,OWWP,0.019340278,E,Old,
1,200,Good,15,Forced,0.410902778,1,PWYW,0.016296296,L,Good,
1,200,Good,15,Forced,0.410914352,1,PYYP,0.01630787,E,Good,
1,200,Good,15,Forced,0.410949074,1,YBBG,0.016342593,E,Good,
1,200,Good,15,Forced,0.410983796,1,GOBW,0.016377315,L,Good,
1,200,Good,15,Forced,0.411064815,1,OPBY,0.016458333,FTR,Old,Good
1,200,Good,15,Forced,0.411064815,1,OPPW,0.016458333,FB,Old,Good
1,200,Good,15,Forced,0.411134259,0.1,OWWP,0.019837963,L,Old,
1,200,Good,15,Forced,0.411157407,1,GWGO,0.016550926,L,Good,
1,200,Good,15,Forced,0.411412037,1,WPGB,0.016805556,L,Good,
1,200,Good,15,Forced,0.411423611,1,GGBP,0.01681713,L,Good,
1,200,Good,15,Forced,0.411516204,1,PGGY,0.016909722,L,Good,
1,200,Good,15,Forced,0.4115625,1,WBYP,0.016956019,L,Good,
1,200,Good,15,Forced,0.41162037,1,OBGB,0.017013889,FB,Old,Good
1,200,Good,15,Forced,0.41162037,1,OWWP,0.017013889,FTR,Old,Good
1,200,Good,15,Forced,0.41181713,1,PGOP,0.017210648,TB,Good,
1,200,Good,15,Forced,0.41193287,1,YWOB,0.017326389,E,Good,
1,200,Good,15,Forced,0.411967593,1,PPPB,0.017361111,E,Good,
1,200,Good,15,Forced,0.412094907,1,YWOB,0.017488426,L,Good,
1,200,Good,15,Forced,0.412199074,1,PPPB,0.017592593,L,Good,
1,200,Good,15,Forced,0.412233796,1,YWOB,0.017627315,E,Good,
1,200,Good,15,Forced,0.412326389,1,PPPB,0.017719907,E,Good,
1,200,Good,15,Forced,0.412430556,1,GOGP,0.017824074,E,Good,
1,200,Good,15,Forced,0.41244213,0.1,GGBP,0.021145833,E,Old,
1,200,Good,15,Forced,0.412604167,1,OO**1,0.017997685,L,Good,
1,200,Good,15,Forced,0.412604167,1,WBYP,0.017997685,E,Good,
1,200,Good,15,Forced,0.412777778,1,OPBY,0.018171296,E,Good,
1,200,Good,15,Forced,0.412881944,1,OPPW,0.018275463,E,Good,
1,200,Good,15,Forced,0.412997685,1,PGOP,0.018391204,L,Good,
1,200,Good,15,Forced,0.413009259,1,GOBW,0.018402778,TB,Good,
1,200,Good,15,Forced,0.413055556,1,WBYP,0.018449074,L,Good,
1,200,Good,15,Forced,0.41306713,0.1,GGBP,0.021770833,L,Old,
1,200,Good,15,Forced,0.41306713,0.1,GGBP,0.021770833,FTR,Old,Good
1,200,Good,15,Forced,0.41306713,0.1,WYBY,0.021770833,FB,Old,Good
1,200,Good,15,Forced,0.413194444,1,OBGB,0.018587963,E,Good,
1,200,Good,15,Forced,0.413240741,0.1,BWGP,0.021944444,E,Old,
1,200,Good,15,Forced,0.413611111,1,YBPB,0.01900463,E,Good,
1,200,Good,15,Forced,0.413657407,1,YPYP,0.019050926,L,Good,
1,200,Good,15,Forced,0.41375,1,GWGO,0.019143519,TB,Good,
1,200,Good,15,Forced,0.413958333,1,PGOP,0.019351852,TA,Good,
1,200,Good,15,Forced,0.413958333,1,WYWG,0.019351852,BC,Good,
1,200,Good,15,Forced,0.414201389,1,PGOP,0.019594907,L,Good,
1,200,Good,15,Forced,0.414212963,1,OWWP,0.019606481,E,Good,
1,200,Good,15,Forced,0.414236111,1,PWYW,0.01962963,E,Good,
1,200,Good,15,Forced,0.414247685,1,OBBP,0.019641204,E,Good,
1,200,Good,15,Forced,0.414340278,1,BGPW,0.019733796,E,Good,
1,200,Good,15,Forced,0.414386574,1,PYYP,0.019780093,L,Good,
1,200,Good,15,Forced,0.414409722,1,GOBW,0.019803241,L,Good,
1,200,Good,15,Forced,0.414479167,1,GWGO,0.019872685,L,Good,
1,200,Good,15,Forced,0.414652778,1,GOPG,0.020046296,L,Good,
1,200,Good,15,Forced,0.414849537,1,BPOY,0.020243056,E,Good,
1,200,Good,15,Forced,0.414907407,1,WYBY,0.020300926,E,Good,
1,200,Good,15,Forced,0.414976852,1,GGBP,0.02037037,E,Good,
1,200,Good,15,Forced,0.415,1,OO**1,0.020393519,E,Good,
1,200,Good,15,Forced,0.415011574,1,PGGY,0.020405093,E,Good,
1,200,Good,15,Forced,0.415439815,1,GOPG,0.020833333,E,Good,
1,200,Good,15,Forced,0.415497685,1,OPBY,0.020891204,L,Good,
1,200,Good,15,Forced,0.415509259,1,GOPG,0.020902778,L,Good,
1,200,Good,15,Forced,0.415520833,1,PGOP,0.020914352,TA,Good,
1,200,Good,15,Forced,0.415520833,1,PGWB,0.020914352,BC,Good,
1,200,Good,15,Forced,0.415543981,1,GOBW,0.0209375,TB,Good,
1,200,Good,15,Forced,0.415625,1,BWOG,0.021018519,L,Good,
1,200,Good,15,Forced,0.415659722,1,GWOW,0.021053241,E,Good,
1,200,Good,15,Forced,0.415671296,1,PYYP,0.021064815,E,Good,
1,200,Good,15,Forced,0.416087963,1,OBBP,0.021481481,L,Good,
1,200,Good,15,Forced,0.416180556,1,PYYP,0.021574074,L,Good,
1,200,Good,15,Forced,0.416226852,1,GOPG,0.02162037,E,Good,
1,200,Good,15,Forced,0.416238426,0.1,BBYG,0.02494213,E,Old,
1,200,Good,15,Forced,0.41625,1,BWOG,0.021643519,E,Good,
1,200,Good,15,Forced,0.416388889,1,YWOB,0.021782407,L,Good,
1,200,Good,15,Forced,0.416400463,1,PGGY,0.021793981,L,Good,
1,200,Good,15,Forced,0.416655093,1,BPGW,0.022048611,L,Good,
1,200,Good,15,Forced,0.416782407,1,GPWB,0.022175926,E,Good,
1,200,Good,15,Forced,0.416793981,1,PGOP,0.0221875,L,Good,
1,200,Good,15,Forced,0.416863426,1,YBBG,0.022256944,L,Good,
1,200,Good,15,Forced,0.416956019,1,YGBO,0.022349537,E,Good,
1,200,Good,15,Forced,0.416967593,1,YBBG,0.022361111,E,Good,
1,200,Good,15,Forced,0.417025463,1,GBYO,0.022418981,E,Good,
1,200,Good,15,Forced,0.417048611,1,GOBW,0.02244213,L,Good,
1,200,Good,15,Forced,0.417106481,1,GWGO,0.0225,TB,Good,
1,200,Good,15,Forced,0.417233796,1,WGWY,0.022627315,L,Good,
1,200,Good,15,Forced,0.417407407,0.1,OBBP,0.026111111,E,Old,
1,200,Good,15,Forced,0.417418981,1,YBBG,0.0228125,L,Good,
1,200,Good,15,Forced,0.417627315,1,BYBG,0.023020833,E,Good,
1,200,Good,15,Forced,0.417685185,0.1,OBBP,0.026388889,L,Old,
1,200,Good,15,Forced,0.417685185,0.1,OBBP,0.026388889,FTR,Old,Good
1,200,Good,15,Forced,0.417685185,0.1,YO*Y,0.026388889,FB,Old,Good
1,200,Good,15,Forced,0.417731481,1,YGBO,0.023125,L,Good,
1,200,Good,15,Forced,0.41787037,1,GGBP,0.023263889,L,Good,
1,200,Good,15,Forced,0.41787037,1,WOYB,0.023263889,L,Good,
1,200,Good,15,Forced,0.417905093,1,GWGO,0.023298611,L,Good,
1,200,Good,15,Forced,0.417951389,1,WGWY,0.023344907,E,Good,
1,200,Good,15,Forced,0.418020833,1,WYBY,0.023414352,L,Good,
1,200,Good,15,Forced,0.418090278,1,YBPB,0.023483796,L,Good,
1,200,Good,15,Forced,0.418113426,1,YWOB,0.023506944,E,Good,
1,200,Good,15,Forced,0.418148148,1,GGBP,0.023541667,E,Good,
1,200,Good,15,Forced,0.41818287,1,WYBY,0.023576389,E,Good,
1,200,Good,15,Forced,0.418263889,1,GOGP,0.023657407,L,Good,
1,200,Good,15,Forced,0.418310185,1,OOPB,0.023703704,BC,Good,
1,200,Good,15,Forced,0.418310185,1,OPBY,0.023703704,TA,Good,
1,200,Good,15,Forced,0.4184375,1,GOGP,0.023831019,E,Good,
1,200,Good,15,Forced,0.4184375,1,GOPG,0.023831019,L,Good,
1,200,Good,15,Forced,0.418472222,0.1,BPGW,0.027175926,E,Old,
1,200,Good,15,Forced,0.418530093,1,WYBY,0.023923611,L,Good,
1,200,Good,15,Forced,0.418587963,1,GOGP,0.023981481,L,Good,
1,200,Good,15,Forced,0.418587963,1,OPBY,0.023981481,L,Good,
1,200,Good,15,Forced,0.418668981,1,YGBO,0.0240625,E,Good,
1,200,Good,15,Forced,0.418726852,1,YWOB,0.02412037,L,Good,
1,200,Good,15,Forced,0.418738426,1,GGPY,0.024131944,L,Good,
1,200,Good,15,Forced,0.41875,1,****,0.024143519,BC,Good,
1,200,Good,15,Forced,0.41875,1,WBYP,0.024143519,TA,Good,
1,200,Good,15,Forced,0.418796296,1,GGBP,0.024189815,L,Good,
1,200,Good,15,Forced,0.418888889,1,WPGB,0.024282407,E,Good,
1,200,Good,15,Forced,0.418958333,1,BBOP,0.024351852,E,Good,
1,200,Good,15,Forced,0.418969907,1,GWGO,0.024363426,TB,Good,
1,200,Good,15,Forced,0.41912037,1,PPPB,0.024513889,L,Good,
1,200,Good,15,Forced,0.419178241,1,PWYW,0.024571759,L,Good,
1,200,Good,15,Forced,0.419224537,1,OWWP,0.024618056,L,Good,
1,200,Good,15,Forced,0.419386574,1,PGOP,0.024780093,TB,Good,
1,200,Good,15,Forced,0.419398148,1,YGBO,0.024791667,L,Good,
1,200,Good,15,Forced,0.419409722,1,GGGB,0.024803241,BC,Good,
1,200,Good,15,Forced,0.419409722,1,PYYP,0.024803241,TA,Good,
1,200,Good,15,Forced,0.419479167,0.1,BPGW,0.02818287,FTR,Old,Good
1,200,Good,15,Forced,0.419479167,0.1,OYPO,0.02818287,FB,Old,Good
1,200,Good,15,Forced,0.419490741,0.1,BPGW,0.028194444,L,Old,
1,200,Good,15,Forced,0.419502315,1,GOBW,0.024895833,TB,Good,
1,200,Good,15,Forced,0.419525463,1,PPPB,0.024918981,E,Good,
1,200,Good,15,Forced,0.41994213,0.1,WYBY,0.028645833,E,Old,
1,200,Good,15,Forced,0.419965278,1,GWGO,0.025358796,L,Good,
1,200,Good,15,Forced,0.420046296,1,WBYP,0.025439815,L,Good,
