Time,Behavior
709.756,Trial start
1235.981,First discovery
5560.688,Transport
5807.188,Transport
6030.438,Transport
6145.735,Transport
6167.716,Transport
6287.216,Transport
6420.18,Transport
6499.45,Transport
6545.935,Transport
6629.685,Transport
6705.435,Transport
6735.185,Transport
6818.445,Reverse tandem run
6855.935,Reverse tandem run
7004.18,Transport
7029.455,Transport
7104.435,Transport
7221.792,Transport
7272.532,Reverse tandem run
7279.34,Attempted tandem run
7313.381,Queen transport
7358.33,Transport
7401.472,Attempted reverse tandem run
7410.982,Attempted reverse tandem run
7464.989,Transport
7471.732,Transport
7507.744,Transport
7602.989,Transport
7664.426,Transport
7680.916,Transport
7683.936,Transport
7713.171,Transport
7731.176,Transport
7741.661,Transport
7815.181,Transport
7901.671,Reverse tandem run
7915.676,Transport
7941.181,Transport
7944.176,Transport
7947.161,Transport
8010.661,Transport
8080.686,Transport
8104.421,Transport
8145.916,Transport
8444.426,Transport
8452.421,Transport
8504.921,Transport
8573.921,Transport
8648.176,Transport
8710.916,Transport
8742.431,Transport
8791.931,Transport
8842.916,Transport
8845.936,Transport
8905.186,Transport
9082.416,Transport
9350.181,Transport
9679.419,Transport
9789.668,Transport
10371.183,Transport
10782.369,Transport
10812.108,Transport
11056.86,Transport
11119.866,Transport
11396.102,Transport
11616.363,Transport
11907.255,Transport
12186.478,Transport
