Time,Behavior
1607.109,Trial start
2537.858,First discovery
4799.457,Tandem run
5128.711,Transport
5348.952,Transport
5537.08,Attempted reverse tandem run
5581.339,Transport
6014.586,Transport
6098.58,Transport
6235.093,Transport
6289.333,Transport
6324.346,Transport
6481.833,Transport
6606.833,Transport
6627.827,Transport
6736.08,Transport
6844.586,Transport
7158.833,Transport
7195.788,Transport
7225.547,Transport
7346.294,Transport
7349.8,Transport
7414.547,Transport
7433.794,Transport
7603.553,Transport
