Time,Behavior
1.366,Trial start
357.353,First discovery
1938.858,Tandem run
2256.323,Attempted reverse tandem run
2388.587,Tandem run
2651.327,Tandem run
3093.823,Tandem run
3529.827,Transport
3593.698,Transport
4028.694,Brood transport
4102.454,Transport
4282.45,Transport
4359.702,Transport
4451.458,Transport
4527.194,Transport
4601.95,Transport
4630.446,Transport
4645.954,Transport
4683.45,Transport
4747.45,Transport
4764.21,Transport
4784.714,Transport
4825.446,Transport
4842.95,Transport
4884.95,Transport
4936.95,Transport
4943.698,Transport
4965.954,Transport
4971.45,Transport
4984.95,Transport
5067.466,Transport
5082.966,Transport
5128.21,Transport
5153.71,Transport
5199.95,Transport
5203.454,Transport
5242.698,Transport
5280.45,Transport
5290.45,Transport
5304.706,Transport
5308.202,Transport
5359.45,Transport
5370.95,Transport
5422.698,Reverse tandem run
5487.462,Transport
5505.298,Queen transport
5511.294,Transport
5556.798,Transport
5602.298,Transport
5610.558,Transport
5617.294,Transport
5653.44,Transport
5661.196,Transport
5679.196,Transport
5757.44,Transport
5820.196,Transport
5948.694,Transport
5956.194,Transport
6056.194,Transport
6116.194,Transport
6197.437,Transport
6503.448,Transport
6728.438,Transport
6871.218,Transport
6991.943,Transport
7480.288,Transport
