Time,Behavior
125.403,Trial start
1279.633,First discovery
5553.295,Transport
5834.555,Transport
6145.213,Transport
6335.952,Tandem run
6343.913,Tandem run
6349.913,Transport
6884.949,Transport
7149.126,Tandem run
7193.85,Tandem run
7256.34,Tandem run
7435.379,Transport
7491.266,Tandem run
7695.016,Transport
7696.511,Tandem run
7730.771,Tandem run
7743.266,Transport
7778.511,Tandem run
8048.786,Transport
8049.536,Tandem run
8130.266,Transport
8131.771,Tandem run
8283.781,Transport
8309.536,Transport
8534.776,Transport
8584.526,Tandem run
8671.516,Transport
9007.276,Transport
9025.021,Tandem run
9281.909,Tandem run
9291.644,Transport
9538.409,Tandem run
9722.159,Transport
9850.159,Transport
9888.909,Transport
9929.154,Transport
10020.669,Transport
10126.904,Transport
10154.164,Transport
10245.541,Transport
10316.041,Transport
11304.68,Transport
11816.185,Transport
