Time,Behavior
67.905,Trial start
1940.046,First discovery
2248.29,Tandem run
2523.042,Tandem run
3154.265,Transport
3264.777,Tandem run
3390.378,Brood transport
3489.09,Attempted tandem run
3681.49,Brood transport
3711.818,Attempted tandem run
3905.069,Brood transport
4007.566,Brood transport
4150.315,Brood transport
4384.066,Brood transport
4457.318,Brood transport
4473.318,Transport
4614.815,Transport
4649.236,Tandem run
4673.985,Transport
4676.266,Tandem run
4896.293,Brood transport
4928.021,Transport
4995.266,Brood transport
7755.845,Transport
