Time,Behavior
84.858,Trial start
1117.908,First discovery
1281.336,Attempted tandem run
1495.554,Tandem run
1720.808,Transport
1796.354,Transport
1902.37,Transport
1924.36,Transport
1997.112,Transport
2031.118,Transport
2032.115,Transport
2115.86,Transport
2139.86,Transport
2162.708,Transport
2185.717,Transport
2218.511,Transport
2314.501,Transport
2317.514,Transport
2435.886,Transport
2496.392,Transport
2545.395,Transport
2591.647,Transport
2642.886,Transport
2658.212,Transport
2761.96,Transport
2768.074,Transport
2802.962,Transport
2872.712,Transport
2933.824,Transport
2961.577,Transport
2988.572,Transport
3081.574,Transport
3104.827,Transport
3145.327,Transport
3314.357,Transport
3375.857,Transport
3390.104,Transport
3426.859,Transport
3435.107,Transport
4107.894,Transport
