Time,Behavior
164.865,Trial start
208.366,First discovery
259.111,Attempted tandem run
939.21,Tandem run
980.268,Attempted tandem run
1070.863,Attempted tandem run
1159.759,Tandem run
1398.326,Tandem run
1532.603,Tandem run
2024.35,Reverse tandem run
2247.051,Reverse tandem run
2512.576,Transport
2521.081,Transport
2612.342,Reverse tandem run
2614.943,Attempted reverse tandem run
2641.712,Transport
2796.952,Transport
2824.956,Transport
2836.961,Transport
2928.469,Tandem run
2970.454,Transport
3041.456,Transport
3050.214,Transport
3057.21,Transport
3111.458,Transport
3115.454,Transport
3165.44,Transport
3186.181,Transport
3205.936,Transport
3215.216,Transport
3221.298,Attempted reverse tandem run
3242.204,Transport
3257.559,Reverse tandem run
3292.84,Transport
3299.33,Transport
3342.834,Transport
3347.846,Transport
3349.831,Attempted reverse tandem run
3394.849,Transport
3435.081,Transport
3465.081,Transport
3494.083,Transport
3496.579,Transport
3517.078,Transport
3526.338,Transport
3527.327,Transport
3565.34,Attempted tandem run
3580.38,Transport
3587.912,Reverse tandem run
3636.449,Attempted tandem run
3639.447,Tandem run
3653.201,Transport
3667.713,Transport
3694.256,Transport
3739.024,Transport
3751.022,Transport
3755.527,Transport
3761.53,Transport
3762.494,Transport
3778.234,Transport
3782.734,Transport
3783.491,Transport
3793.991,Transport
3852.994,Transport
3853.74,Transport
3859.161,Reverse tandem run
3861.745,Transport
3871.171,Transport
3940.934,Transport
3956.173,Transport
3960.171,Transport
3984.424,Reverse tandem run
3992.696,Transport
4022.529,Transport
4034.052,Transport
4053.776,Transport
4071.774,Transport
4074.776,Transport
4091.033,Transport
4108.776,Transport
4137.531,Transport
4193.027,Transport
4217.027,Attempted reverse tandem run
4230.297,Transport
4262.301,Transport
4274.803,Transport
4289.299,Transport
4311.558,Transport
4317.55,Transport
4360.556,Transport
4360.666,Transport
4382.668,Transport
4450.168,Transport
4493.673,Transport
4512.668,Reverse tandem run
4542.168,Transport
4544.668,Transport
4580.666,Transport
4583.688,Transport
4596.168,Transport
4616.168,Transport
4626.668,Transport
4638.419,Transport
4649.168,Transport
4649.666,Transport
4696.494,Reverse tandem run
4761.314,Transport
4772.563,Transport
4793.063,Transport
4801.067,Transport
4880.571,Transport
4895.567,Transport
4901.565,Reverse tandem run
4923.818,Transport
4995.32,Transport
5012.314,Transport
5018.312,Transport
5023.816,Transport
5027.814,Transport
5041.314,Transport
5087.821,Transport
5109.812,Reverse tandem run
5163.32,Transport
5164.316,Transport
5164.816,Transport
5171.814,Transport
5193.32,Transport
5198.816,Transport
5200.82,Transport
5226.82,Transport
5279.323,Transport
5293.816,Transport
5304.316,Transport
5327.316,Transport
5329.818,Transport
5331.812,Transport
5345.835,Transport
5356.814,Transport
5365.314,Transport
5381.565,Transport
5386.818,Transport
5433.948,Transport
5438.94,Transport
5472.444,Transport
5474.94,Transport
5501.946,Transport
5532.686,Transport
5541.187,Transport
5548.693,Transport
5570.187,Transport
5583.689,Transport
5590.189,Transport
5594.94,Transport
5597.965,Transport
5687.444,Transport
5710.938,Transport
5723.775,Tandem run
5731.026,Transport
5749.298,Transport
5767.028,Transport
5768.026,Transport
5842.646,Attempted reverse tandem run
5851.367,Transport
5886.369,Transport
5893.867,Transport
5895.367,Transport
5931.879,Transport
5958.869,Transport
5973.365,Transport
6010.875,Transport
6013.879,Transport
6043.877,Transport
6047.381,Transport
6109.371,Transport
6140.373,Transport
6155.371,Transport
6227.373,Transport
6304.867,Transport
6321.114,Transport
6355.618,Transport
6365.929,Transport
6490.931,Transport
6494.425,Transport
6911.68,Transport
6997.947,Transport
7051.187,Transport
7134.181,Transport
7168.174,Transport
7195.038,Transport
7567.809,Transport
8465.05,Transport
8557.821,Transport
