Time,Behavior
0,Trial start
2243.865,First discovery
13582.379,Tandem run
14552.864,Transport
15484.273,Transport
15680.719,Transport
15699.57,Transport
15728.076,Transport
15980.551,Transport
16037.045,Transport
16048.114,Transport
16111.125,Transport
16168.367,Reverse tandem run
16253.356,Transport
16274.367,Transport
16365.884,Transport
16417.356,Transport
16474.378,Transport
16553.867,Transport
16669.897,Transport
16691.133,Reverse tandem run
16808.38,Transport
16819.15,Transport
16910.644,Reverse tandem run
17085.133,Reverse tandem run
17101.88,Transport
17208.397,Transport
17251.88,Reverse tandem run
17487.092,Transport
17520.827,Transport
17562.08,Transport
17607.075,Transport
17676.001,Transport
17715.754,Transport
17745.681,Transport
17893.936,Transport
17971.315,Transport
18086.806,Transport
18091.81,Transport
18097.659,Transport
18115.419,Transport
18231.686,Transport
18381.676,Transport
18395.916,Transport
18465.936,Transport
18622.441,Transport
18791.426,Transport
18833.941,Transport
19012.205,Transport
19077.431,Transport
19392.441,Transport
19451.191,Transport
19490.431,Transport
19598.676,Transport
20135.926,Transport
20370.921,Transport
