Time,Behavior
114.616,Trial start
829.719,First discovery
19279.338,Transport
19948.826,Transport
20290.09,Transport
20548.314,Transport
21006.074,Transport
21056.593,Brood transport
21470.346,Transport
21944.916,Brood transport
21947.156,Brood transport
22342.156,Brood transport
22356.916,Brood transport
22563.916,Transport
22575.676,Transport
22655.908,Brood transport
22747.396,Transport
22962.156,Brood transport
23246.676,Brood transport
23889.66,Transport
24013.156,Transport
24027.924,Brood transport
24074.156,Transport
24236.164,Transport
24349.42,Brood transport
24517.924,Transport
24723.436,Transport
25046.156,Transport
26007.758,Transport
26400.006,Transport
26899.27,Transport
26927.254,Transport
