Time,Behavior
0,Trial start
1554.621,First discovery
2149.203,Attempted tandem run
2432.995,Attempted tandem run
2442.995,Attempted tandem run
2617.328,Attempted reverse tandem run
2784.99,Tandem run
2799.734,Tandem run
2969.916,Transport
3197.684,Transport
3291.168,Attempted tandem run
3300.916,Transport
3341.141,Reverse tandem run
3400.641,Transport
3430.897,Transport
3460.897,Tandem run
3564.901,Transport
3668.946,Tandem run
3671.206,Transport
3678.942,Transport
3742.202,Transport
3754.45,Transport
3791.454,Transport
3807.198,Transport
3825.942,Reverse tandem run
3849.446,Transport
3895.946,Transport
3910.95,Transport
3911.718,Tandem run
3976.966,Transport
4118.682,Tandem run
4145.19,Tandem run
4270.938,Transport
4341.698,Transport
4355.186,Transport
4437.946,Transport
4518.934,Transport
4646.442,Transport
4667.697,Transport
4830.442,Transport
4928.937,Transport
