Time,Behavior
40.103,Trial start
236.298,First discovery
2452.115,Brood transport
2553.617,Tandem run
2598.617,Tandem run
2676.62,Tandem run
2699.863,Transport
2741.866,Brood transport
2756.614,Tandem run
2777.62,Transport
3030.371,Transport
3082.866,Transport
3133.869,Brood transport
3224.115,Transport
3253.617,Transport
3308.365,Transport
3336.614,Transport
3337.391,Tandem run
3344.643,Transport
3373.893,Transport
3375.893,Transport
3483.896,Transport
3484.65,Transport
3600.45,Transport
3728.45,Transport
