Species,Locality,1 min,3 min,5 min,10 min,15 min,scout,workers,genus_group,adult_transports,FTR,RTR,adult_transports_percapita,FTR_percapita,RTR_percapita,parasite,latitude
H. canadensis,"Rouyn-Noranda, QC",59,71,76,81,96,76.6,144,Leptothorax,57,0,1,0.395833333,0,0.006944444,1,48.2342
L. AF-can,"Rouyn-Noranda, QC",22,36,30,39,37,32.8,49,Leptothorax,2,0,0,0.040816327,0,0,0,48.2342
L. crassipilis ,"Pinal Mountains, AZ",7,12,12,8,15,10.8,35,Leptothorax,10,5,16,0.285714286,0.142857143,0.457142857,0,33.2823
L. crassipilis ,"Sandia Mountains, NM",17,28,23,27,29,24.8,41,Leptothorax,8,0,3,0.195121951,0,0.073170732,0,35.2037
L. retractus,"Rouyn-Noranda, QC",12,13,11,20,19,15,50,Leptothorax,26,0,4,0.52,0,0.08,0,48.2342
L. AF-erg,"Fish Creek, WI",2,2,6,6,8,4.8,18,Leptothorax,15,2,6,0.833333333,0.111111111,0.333333333,0,45.1277
T. ambiguus,"Fish Creek, WI",2,3,8,14,15,8.4,60,Temnothorax,60,1,6,1,0.016666667,0.1,0,45.1277
T. americanus ,"Bishopville, OH",1,3,2,3,7,3.2,26,Temnothorax,21,1,1,0.807692308,0.038461538,0.038461538,1,39.5131
T. caguatan,"Jackson County, OR",2,12,4,12,12,8.4,73,Temnothorax,56,4,2,0.767123288,0.054794521,0.02739726,0,42.3345
T. curvispinosis,"Elk Grove Village, IL",1,5,8,8,13,7,41,Temnothorax,36,2,0,0.87804878,0.048780488,0,0,42.304
T. duloticus,"Steuben County, IN",16,22,25,29,35,25.4,200,Temnothorax,162,12,16,0.81,0.06,0.08,1,41.6115
T. longispinosis,"Meadville, PA",7,6,6,10,13,8.4,55,Temnothorax,48,1,5,0.872727273,0.018181818,0.090909091,0,41.6414
T. nitens,"Chaffee Country, CO",21,19,17,21,23,20.2,36,Temnothorax,,,,,,,0,38.7537
T. obturator ,"Austin, TX",5,4,4,5,7,5,17,Temnothorax,20,0,0,1.176470588,0,0,0,30.2672
T. rudis,"Albany, OR",6,4,16,12,15,10.6,53,Temnothorax,25,11,3,0.471698113,0.20754717,0.056603774,0,44.6365
T. rugatulus,"Pinal Mountains, AZ",9,7,9,19,19,12.6,87,Temnothorax,56,12,5,0.643678161,0.137931034,0.057471264,0,33.2823
T. stenotyle,"Portal, AZ",20,22,22,29,29,24.4,60,Temnothorax,15,5,0,0.25,0.083333333,0,0,31.9137
T. carinatus,"Brewster County, TX",5,3,8,3,4,4.6,49,Temnothorax,27,15,0,0.551020408,0.306122449,0,0,29.663
T. cokendolpheri,"Brewster County, TX",14,13,12,13,16,13.6,42,Temnothorax,6,7,0,0.142857143,0.166666667,0,0,29.663
